policy,episodes,avg_return,std_return,avg_length,std_length,avg_forward_distance,std_forward_distance,avg_velocity,std_velocity,avg_energy_cost,std_energy_cost,fall_rate
Random,30,-53.269,94.371,153.4,239.6,-0.04,1.658,0.0897,0.3749,2.6438,0.1041,0.933
PPO:ppo_normal_1000000_steps,30,1754.056,687.05,880.6,254.6,68.222,32.205,1.5441,0.6115,1.118,0.0893,0.2
PPO:ppo_normal_100000_steps,30,46.976,63.05,92.4,173.6,0.443,1.916,0.3897,0.5175,1.2133,0.0993,0.967
PPO:ppo_normal_10000_steps,30,944.299,9.069,1000.0,0.0,0.213,0.433,0.0043,0.0086,0.1122,0.0064,0.0
PPO:ppo_normal_150000_steps,30,29.491,22.073,30.9,28.8,1.101,0.822,0.769,0.419,1.4759,0.1168,1.0
PPO:ppo_normal_200000_steps,30,33.119,29.624,38.8,25.3,1.022,1.121,0.5176,0.4302,1.3137,0.1092,1.0
PPO:ppo_normal_20000_steps,30,902.811,167.236,967.2,176.8,0.778,1.126,0.0244,0.0506,0.1598,0.0362,0.033
PPO:ppo_normal_25000_steps,30,1005.02,116.704,1000.0,0.0,6.837,5.521,0.1367,0.1104,0.2587,0.0288,0.0
PPO:ppo_normal_30000_steps,30,625.696,327.234,681.5,377.8,1.813,5.123,0.1384,0.1992,0.2715,0.0162,0.467
PPO:ppo_normal_400000_steps,30,460.699,273.638,608.7,349.3,5.01,4.779,0.2121,0.1902,0.8476,0.0935,0.6
PPO:ppo_normal_40000_steps,30,894.368,125.272,974.2,108.8,4.66,4.04,0.0972,0.0822,0.3506,0.0246,0.1
PPO:ppo_normal_50000_steps,30,245.361,255.153,278.5,283.4,2.448,3.337,0.1881,0.2274,0.5827,0.0374,0.933
PPO:ppo_normal_800000_steps,30,1205.92,815.612,672.4,435.9,45.978,31.954,1.2696,0.2739,1.1504,0.0545,0.367
